;date;skyCover_7h;skyCover_14h;skyCover_19h;temp_7h;temp_14h;temp_19h;temp_dailyMean;temp_dailyMax;temp_dailyMin;hum_7h;hum_14h;hum_19h;windBeauf_7h;windBeauf_14h;windBeauf_19h;precip
0;2014-01-01;10;4;10;4.1;6.3;3.9;5.0;6.7;3.3;95;66;95;3;1;3;0
1;2014-02-01;9;6;1;4.0;;40.0;4.8;7.5;2.0;83;63;85;3;1;2;0.8
2;2014-03-01;0;9;8;0.6;3.8;1.2;2.3;4.8;-0.2;100;87;98;1;2;1;0
3;2014-04-01;8;10;10;1.8;3.4;5.3;3.1;5.3;0.9;98;98;98;2;3;3;Spuren
4;2014-05-01;10;10;10;;;6.6;8.1;10.9;5.3;92;72;81;2;5;4;0.6
5;2014-06-01;2;2;1;4.7;9.9;3.9;7.0;10.3;3.6;88;59;93;1;2;1;0
6;2014-07-01;10;10;10;3.9;5.5;4.5;4.1;5.6;2.6;96;87;96;1;1;2;Spuren
7;2014-08-01;10;10;10;3.4;4.9;3.2;4.1;4.9;3.2;97;89;98;2;2;2;Spuren
8;2014-09-01;10;10;10;2.3;3.4;4.0;3.1;4.0;2.1;98;97;97;2;1;2;0.1
9;2014-10-01;9;5;1;7.0;9.6;6.3;6.6;9.9;3.3;77;49;63;4;4;3;Spuren
10;2014-11-01;6;9;7;0.4;7.9;5.8;3.9;7.9;-0.1;96;64;92;1;3;2;Spuren
11;2014-12-01;1;8;0;5.1;6.8;40.0;5.1;8.8;1.4;60;53;78;4;3;2;0
12;2014-01-13;0;5;1;-2.9;4.9;;1.0;5.2;-3.3;99;63;89;1;2;1;0
13;2014-01-14;10;10;9;;4.0;5.8;3.4;6.4;0.4;98;91;80;1;2;2;0.1
14;2014-01-15;8;8;1;4.4;8.1;2.5;5.4;8.3;2.5;79;59;81;3;3;2;0
15;2014-01-16;6;9;9;-1.1;5.1;4.5;1.9;5.4;-1.7;98;86;90;1;1;2;0
16;2014-01-17;10;9;10;3.1;5.6;4.8;4.4;5.6;3.1;97;81;89;2;1;1;0
17;2014-01-18;10;10;10;2.7;4.0;5.4;4.1;5.5;2.6;97;100;97;1;2;1;Spuren
18;2014-01-19;8;9;7;2.8;12.8;9.7;7.8;12.9;2.7;97;59;80;1;3;2;Spuren
19;2014-01-20;10;10;10;;40.0;6.5;8.2;9.9;6.5;96;94;81;3;2;4;1.2
20;2014-01-21;10;10;10;4.7;5.0;4.2;5.4;6.6;4.1;88;88;90;3;3;3;4
21;2014-01-22;10;9;10;1.6;3.4;2.2;2.7;4.2;1.2;94;81;82;1;2;2;Spuren
22;2014-01-23;10;9;10;-1.1;-0.1;-0.8;0.2;2.2;-1.9;86;76;75;2;2;2;Spuren
23;2014-01-24;10;10;10;-0.9;-0.4;0.1;-0.9;0.1;-1.8;92;100;98;2;2;2;Spuren
24;2014-01-25;9;8;9;-4.4;-0.7;-6.0;-2.9;0.2;-6.0;68;43;70;3;4;2;0
25;2014-01-26;9;10;10;-9.7;-5.1;-5.8;-7.5;-5.1;-9.8;71;58;83;2;1;2;0.1
26;2014-01-27;10;10;10;-4.6;-4.0;-3.2;-4.6;-3.2;-5.9;89;91;89;3;3;2;0.8
27;2014-01-28;9;10;10;-2.7;-0.3;-0.3;-1.6;0.1;-3.3;89;80;79;1;2;2;Spuren
28;2014-01-29;10;10;8;-1.9;-0.7;-2.1;-1.6;-0.3;-2.9;92;87;89;2;3;4;0.5
29;2014-01-30;10;10;9;-2.5;-1.1;-0.3;-1.4;-0.2;-2.6;86;85;87;3;4;4;0.1
30;2014-01-31;10;10;10;-1.5;-1.1;-1.5;-0.8;0.2;-1.7;88;83;82;4;3;4;Spuren
31;2014-01-02;10;10;10;-3.3;-2.2;-1.7;-2.4;-1.4;-3.4;88;81;81;4;4;4;Spuren
32;2014-02-02;10;10;10;-1.2;-0.3;-0.4;-1.1;-0.1;-2.0;93;94;98;3;3;3;2.9
33;2014-03-02;10;10;10;-1.4;0.3;0.3;-0.5;0.6;-1.6;90;81;79;3;4;4;0
34;2014-04-02;9;10;10;-1.0;-0.5;-0.9;-0.5;0.4;-1.4;87;85;93;3;4;4;0
35;2014-05-02;10;10;10;-1.5;1.5;1.0;0.1;1.8;-1.6;94;81;92;3;3;3;0.1
36;2014-06-02;10;8;1;0.4;4.6;1.4;3.0;5.9;0.0;99;80;93;1;2;2;Spuren
37;2014-07-02;10;9;4;0.5;7.2;1.2;3.4;7.7;-0.9;100;74;93;3;3;1;0.1
38;2014-08-02;10;8;9;;8.7;6.0;5.5;10.2;0.7;87;67;86;2;4;3;0
39;2014-09-02;9;10;10;1.9;3.3;4.6;3.8;6.1;1.4;97;96;90;1;2;3;4
40;2014-10-02;4;9;10;-0.6;7.0;7.1;3.2;7.4;-1.0;92;67;75;0;3;4;0.7
41;2014-11-02;10;9;9;6.7;9.6;5.7;7.7;9.6;5.7;81;56;75;2;3;2;5
